,User,Question,Value,Accuracy,Expected Accuracy,User Accuracy,RMSE,Expected RMSE,User RMSE,Timestamp
0,5,7,0.499780486469598,0.6769655172413793,0.6820891348539871,0.7866666666666666,0.4501113940155386,0.4123748758976203,0.40519152814473447,2024-02-07 14:51:58.214767
1,5,64,0.49986814470526547,0.6772817645231438,0.6823942903645271,0.8783783783783784,0.4499172550292093,0.4120752210974838,0.3488912221092235,2024-02-07 14:51:58.242679
2,9,7,0.499780486469598,0.6773232561801291,0.6822709790951411,0.42666666666666664,0.4499752976709327,0.41221029942307597,0.574580325341693,2024-02-07 14:51:58.258436
3,9,64,0.49986814470526547,0.6773431381310456,0.6825761051468217,0.43243243243243246,0.45009982785900154,0.41191065648956865,0.610694079881659,2024-02-07 14:51:58.274688
4,12,7,0.499780486469598,0.6772690914816565,0.6824528233362954,0.7866666666666666,0.45005443192631656,0.4120457229485316,0.3938005499733908,2024-02-07 14:51:58.300915
5,12,73,0.49999712111957756,0.6774921421185002,0.6824141885404438,0.8513513513513513,0.4500417908125157,0.4120630205179191,0.3901346269711341,2024-02-07 14:51:58.328306
6,16,7,0.499780486469598,0.677485120453472,0.6825906854703568,0.5733333333333333,0.4499335459966068,0.4119140557488472,0.5101174702351378,2024-02-07 14:51:58.344293
7,16,64,0.49986814470526547,0.6771390502453327,0.6828958077572352,0.472972972972973,0.4502119245805216,0.4116144000357086,0.5908472595704579,2024-02-07 14:51:58.360885
8,26,7,0.499780486469598,0.6771613919067863,0.6827725658711036,0.7866666666666666,0.45007850117529624,0.4117494452990556,0.3917260745548195,2024-02-07 14:51:58.376671
9,26,64,0.49986814470526547,0.6775708358334717,0.6830776582878333,0.9054054054054054,0.44972230049529593,0.41144980161822187,0.2884278773547458,2024-02-07 14:51:58.403692
10,26,54,0.4999769170549863,0.6775663675011809,0.6832460999437102,0.904109589041096,0.4496047453190023,0.4112449505388107,0.2543368762295653,2024-02-07 14:51:58.431516
11,27,7,0.499780486469598,0.6775617750485489,0.6831928092476682,0.7733333333333333,0.4496644172107185,0.4113206266199698,0.39649568307557437,2024-02-07 14:51:58.447266
12,27,64,0.49986814470526547,0.677970597664268,0.6834978640307029,0.8918918918918919,0.44931577069827916,0.41102099658700125,0.2953881944681596,2024-02-07 14:51:58.463768
13,37,7,0.499780486469598,0.6779182543431481,0.6833746870520638,0.7866666666666666,0.4494538247704027,0.41115601662941154,0.3929571442709935,2024-02-07 14:51:58.479596
14,37,64,0.49986814470526547,0.6783276982698334,0.6836797115449865,0.9054054054054054,0.449070100803229,0.4108563987979177,0.28167719379061995,2024-02-07 14:51:58.496305
15,37,54,0.4999769170549863,0.6784177032488322,0.6838482101155344,0.9315068493150684,0.44892448783487215,0.41065152333004473,0.23944943296714027,2024-02-07 14:51:58.513571
16,38,7,0.499780486469598,0.6784144229255236,0.6837949278247005,0.4933333333333333,0.44898343871660623,0.41072719839796445,0.5380946979992614,2024-02-07 14:51:58.529934
17,38,73,0.49999712111957756,0.6789965913007954,0.6837563985194304,0.6621621621621622,0.4486859323763789,0.41074436754580745,0.4518178593333056,2024-02-07 14:51:58.546250
18,45,7,0.499780486469598,0.6785082664147378,0.6839329940422109,0.8266666666666667,0.4489987810565145,0.4105953376318844,0.38847630704181907,2024-02-07 14:51:58.562450
19,45,73,0.49999712111957756,0.6785467876946384,0.6838944397288713,0.8378378378378378,0.44899192604416505,0.41061251470778065,0.3864883534605033,2024-02-07 14:51:58.579067
20,52,7,0.499780486469598,0.6787280743190048,0.684071061186271,0.8533333333333333,0.4488465077705147,0.4104634759849062,0.3630740883688264,2024-02-07 14:51:58.595161
21,52,64,0.49986814470526547,0.6790474281556,0.6843760999073445,0.9459459459459459,0.4485447860911232,0.4101638220085548,0.27557480134528717,2024-02-07 14:51:58.611513
22,67,7,0.499780486469598,0.6789976381672178,0.6842530101890741,0.8133333333333334,0.4486403299746444,0.41029879703894406,0.3759774852126532,2024-02-07 14:51:58.627376
23,67,64,0.49986814470526547,0.6794083247158353,0.6845580181911531,0.9324324324324325,0.4482906826716061,0.4099991554368299,0.27457976733153266,2024-02-07 14:51:58.643836
24,67,54,0.4999769170549863,0.6794051330499135,0.6847266380009029,0.9315068493150684,0.44818282298387857,0.40979418188830846,0.243300457890563,2024-02-07 14:51:58.660228
25,71,7,0.499780486469598,0.6794018527266047,0.6846733806983364,0.8,0.4482234975229264,0.40986985304726875,0.38338599361345055,2024-02-07 14:51:58.675899
26,71,64,0.49986814470526547,0.6798119179642562,0.6849783501034173,0.9189189189189189,0.4478394800044829,0.4095702254599514,0.27202091326483335,2024-02-07 14:51:58.692035
27,71,54,0.4999769170549863,0.6799025612764394,0.6851469975047055,0.9452054794520548,0.4476977954780036,0.40936523921638895,0.2309324005858279,2024-02-07 14:51:58.708528
28,73,7,0.499780486469598,0.6798999370177925,0.6850937517697342,0.7733333333333333,0.44774878959229586,0.4094409085288044,0.41514689052481246,2024-02-07 14:51:58.724166
29,73,64,0.49986814470526547,0.6803087596335117,0.6853986823040582,0.8918918918918919,0.4473913834441264,0.4091412950558401,0.31149910755566795,2024-02-07 14:51:58.740341
30,73,54,0.4999769170549863,0.6803036529680365,0.6855673574953627,0.8904109589041096,0.4472602714652749,0.40893629602518516,0.27347663368871283,2024-02-07 14:51:58.769158
31,77,7,0.499780486469598,0.6803462971710492,0.6856280198262054,0.8266666666666667,0.4471917697863046,0.4088462444673955,0.38489747361753546,2024-02-07 14:51:58.785588
32,77,73,0.49999712111957756,0.6803848184509498,0.6855895816172459,0.8378378378378378,0.4472357630772294,0.4088632865240977,0.39765552798573855,2024-02-07 14:51:58.813557
33,77,8,0.49996606856068293,0.6797158452737102,0.6856615735695247,0.6438356164383562,0.44752360720982864,0.40877306671811625,0.48113032643951437,2024-02-07 14:51:58.841606
34,77,65,0.4999466196388765,0.6804650711174093,0.6857614156723184,0.8611111111111112,0.447139292347937,0.4087102142168756,0.36967901649093793,2024-02-07 14:51:58.870265
35,77,42,0.49999791808861793,0.6806040274608338,0.6858617409326851,0.9014084507042254,0.44699857196755577,0.4086064526243545,0.32887010618038487,2024-02-07 14:51:58.899050
36,78,7,0.499780486469598,0.6806484318180114,0.6859327688225233,0.45333333333333337,0.44696644173742517,0.40853861180572915,0.5442810967087257,2024-02-07 14:51:58.914691
37,78,64,0.49986814470526547,0.6805763597459393,0.6862377721736211,0.43243243243243246,0.447208750843111,0.4082388906101427,0.6145507373576116,2024-02-07 14:51:58.931622
38,87,7,0.499780486469598,0.6805023130965502,0.6861148219323042,0.76,0.4471111827978336,0.40837381653972515,0.4144662852472311,2024-02-07 14:51:58.947899
39,87,64,0.49986814470526547,0.6809105144013033,0.6864197936788575,0.8783783783783784,0.4468050352788762,0.40807410807509353,0.32568350474958074,2024-02-07 14:51:58.964739
40,90,7,0.499780486469598,0.680857532746999,0.6862968757749288,0.84,0.44692420094872004,0.40820902047331425,0.37488411296389734,2024-02-07 14:51:58.981058
41,90,64,0.49986814470526547,0.6810830686277072,0.6866018156895667,0.9054054054054054,0.44658127551777205,0.40790932483122705,0.27543573798897125,2024-02-07 14:51:58.997968
42,90,54,0.4999769170549863,0.6812675469179957,0.6867706599937289,0.9589041095890412,0.44647062716654123,0.40770417941737447,0.24334771613205286,2024-02-07 14:51:59.014764
43,91,7,0.499780486469598,0.6812655787240105,0.6867174450226327,0.64,0.446467994646437,0.4077798457498997,0.47379938367290114,2024-02-07 14:51:59.031196
44,91,73,0.49999712111957756,0.681761384874989,0.6866790249032504,0.7837837837837838,0.44628431655849715,0.40779682116972965,0.4205327381703279,2024-02-07 14:51:59.048266
45,93,7,0.499780486469598,0.6813732782988806,0.6868558986348606,0.7866666666666666,0.44643620698903314,0.4076476043807175,0.4139265305994538,2024-02-07 14:51:59.064500
46,93,64,0.49986814470526547,0.6815963289357244,0.6871608252946345,0.8513513513513513,0.44616787129579827,0.4073478978130298,0.33610917956135894,2024-02-07 14:51:59.080832
47,93,54,0.4999769170549863,0.6816837805819855,0.6873297313916167,0.8767123287671232,0.4460920147417639,0.40714270101430033,0.31411077889140865,2024-02-07 14:51:59.097785
48,94,7,0.499780486469598,0.6817257687203364,0.6873904479640255,0.6,0.4460578156507335,0.407052620389452,0.4939056866091703,2024-02-07 14:51:59.113765
49,94,73,0.49999712111957756,0.6820333176485751,0.6873520408312584,0.6891891891891893,0.4459292668433078,0.40706956602603583,0.45662653245572166,2024-02-07 14:51:59.130419
50,94,8,0.49996606856068293,0.6820186359853341,0.6874242511896208,0.6849315068493151,0.4459065236537805,0.4069791475878983,0.45003100749278496,2024-02-07 14:51:59.147097
51,94,65,0.4999466196388765,0.6819077610575013,0.6875241792967329,0.6527777777777778,0.4459878795511473,0.40691618890085623,0.4736242177291565,2024-02-07 14:51:59.164373
52,94,42,0.49999791808861793,0.6817451956266017,0.6876246167777043,0.6056338028169015,0.44611914020343413,0.40681230702623455,0.5116898068923407,2024-02-07 14:51:59.181177
53,95,7,0.499780486469598,0.6817750298040803,0.6876958472792682,0.7333333333333334,0.44612385386180825,0.4067442510082872,0.4117517750037814,2024-02-07 14:51:59.197144
54,95,73,0.49999712111957756,0.6820887918419802,0.6876573584121041,0.8243243243243243,0.4461009379492023,0.4067612365851418,0.4051061603480311,2024-02-07 14:51:59.213454
55,97,7,0.499780486469598,0.6819860201992938,0.6878343769474891,0.7866666666666666,0.44600841970637245,0.40661192425709713,0.3829809498968951,2024-02-07 14:51:59.229509
56,97,64,0.49986814470526547,0.6824886607708999,0.6881394033730401,0.9324324324324325,0.4456074165857508,0.40631208354329595,0.26669004491660625,2024-02-07 14:51:59.245864
57,97,54,0.4999769170549863,0.6825799424162674,0.6883084495944696,0.9589041095890412,0.44545061988977847,0.40610672652863816,0.2212190030846296,2024-02-07 14:51:59.263037
58,98,7,0.499780486469598,0.6825779742222823,0.6882552892642343,0.7733333333333333,0.44549424230342577,0.4061823850326598,0.39630152917950323,2024-02-07 14:51:59.278747
59,98,73,0.49999712111957756,0.6829867968380015,0.6882168133009148,0.8918918918918919,0.44550843362995085,0.40619934066594265,0.4004170138717802,2024-02-07 14:51:59.295265
60,103,7,0.499780486469598,0.6827927435499471,0.6883938906001132,0.8,0.4453871275549102,0.40604998978598855,0.37726976308618926,2024-02-07 14:51:59.311230
61,103,64,0.49986814470526547,0.6832960054325194,0.688698903761034,0.9459459459459459,0.44503082100362296,0.40575013781441593,0.2739408632128749,2024-02-07 14:51:59.327623
62,107,7,0.499780486469598,0.683246215444137,0.6885761678748239,0.7733333333333333,0.44516625480354866,0.405884964183803,0.4049661167153297,2024-02-07 14:51:59.343378
63,107,73,0.49999712111957756,0.6829094649004899,0.6885376972513189,0.6756756756756757,0.44535123930585285,0.4059018926325438,0.4586116223835487,2024-02-07 14:51:59.359696
64,116,7,0.499780486469598,0.6830830915266437,0.6887148112020068,0.7733333333333333,0.4451954504648357,0.40575252921605504,0.39637558710112336,2024-02-07 14:51:59.375524
65,116,73,0.49999712111957756,0.683025930917759,0.688676314311224,0.7567567567567568,0.4453190441339481,0.4057694659920432,0.4322177511437319,2024-02-07 14:51:59.392079
66,122,7,0.499780486469598,0.6832033875430191,0.6888534576242655,0.6,0.4450979027424045,0.40562009115465125,0.48509572674561197,2024-02-07 14:51:59.407935
67,122,64,0.49986814470526547,0.6828585599568122,0.689158492997638,0.5,0.4453405236048718,0.4053201998868676,0.5554557768611114,2024-02-07 14:51:59.424332
68,122,54,0.4999769170549863,0.6827404683177002,0.6893277042999617,0.4657534246575342,0.4454946963075295,0.4051146973120977,0.6001658606318585,2024-02-07 14:51:59.441090
69,126,7,0.499780486469598,0.6827627745161992,0.6893885169576616,0.7733333333333333,0.44554690374438183,0.40502456347699417,0.3988477217280162,2024-02-07 14:51:59.456844
